Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed,teamDiff,oppDiff
2014,3,4,Midwest,8,74,Kentucky,Louisville,69,4,5,-5
2014,3,4,Midwest,2,73,Michigan,Tennessee,71,11,2,-2
2014,4,1,South,1,62,Florida,Dayton,52,11,10,-10
2014,4,2,East,4,54,Michigan St,Connecticut,60,7,-6,6
2014,4,3,West,1,63,Arizona,Wisconsin,64,2,-1,1
2014,4,4,Midwest,8,75,Kentucky,Michigan,72,2,3,-3
2014,5,1,Final Four,1,53,Florida,Connecticut,63,7,-10,10
2014,5,2,Final Four,2,73,Wisconsin,Kentucky,74,8,-1,1
2014,6,1,Championship,7,60,Connecticut,Kentucky,54,8,6,-6
2015,1,1,Midwest,1,79,Kentucky,Hampton,56,16,23,-23
2015,1,1,Midwest,2,75,Kansas,New Mexico St,56,15,19,-19
2015,1,1,Midwest,3,69,Notre Dame,Northeastern,65,14,4,-4
2015,1,1,Midwest,4,65,Maryland,Valparaiso,62,13,3,-3
2015,1,1,Midwest,5,68,West Virginia,Buffalo,62,12,6,-6
2015,1,1,Midwest,6,56,Butler,Texas,48,11,8,-8
2015,1,1,Midwest,7,81,Wichita St,Indiana,76,10,5,-5
2015,1,1,Midwest,8,66,Cincinnati,Purdue,65,9,1,-1
2015,1,2,West,1,86,Wisconsin,Coastal Carolina,72,16,14,-14
2015,1,2,West,2,93,Arizona,Texas Southern,72,15,21,-21
2015,1,2,West,3,56,Baylor,Georgia St,57,14,-1,1
2015,1,2,West,4,67,North Carolina,Harvard,65,13,2,-2
2015,1,2,West,5,56,Arkansas,Wofford,53,12,3,-3
2015,1,2,West,6,76,Xavier,Ole Miss,57,11,19,-19
2015,1,2,West,7,72,VCU,Ohio St,75,10,-3,3
2015,1,2,West,8,79,Oregon,Oklahoma St,73,9,6,-6
2015,1,3,East,1,93,Villanova,Lafayette,52,16,41,-41
2015,1,3,East,2,79,Virginia,Belmont,67,15,12,-12
2015,1,3,East,3,69,Oklahoma,Albany,60,14,9,-9
2015,1,3,East,4,57,Louisville,Cal Irvine,55,13,2,-2
2015,1,3,East,5,71,Northern Iowa,Wyoming,54,12,17,-17
